name,religious_order,house_type,nearest_town,county,year_founded,content,coordinates
Stratford Langthorne,Cistercian,Abbey,,London Greater,1135,,"51.533313384568, -0.00000194310891564148"
Newbattle,Cistercian,Abbey,,Lothian Mid,1140,,"55.8826425260057, -3.06697170352357"
Kinloss,Cistercian,Abbey,,Moray,1139,,"57.633800352594, -3.56647415153346"
Pipewell,Cistercian,Abbey,,Northamptonshire,1143,,"52.461747, -0.764312"
Newminster,Cistercian,Abbey,,Northumberland,1138,,"55.166389, -1.704444"
Rufford,Cistercian,Abbey,,Nottinghamshire,1146,,"53.1762853841648, -1.03564281455694"
Bruern,Cistercian,Abbey,,Oxfordshire,1147,,"51.8812895141084, -1.6161545058663"
Rewley,Cistercian,Abbey,,Oxfordshire,1281,,"51.7541804175817, -1.26790188307783"
Thame,Cistercian,Abbey,,Oxfordshire,1137,,"51.727916, -0.963279"
St Bernard's College,Cistercian,Abbey,,Oxfordshire,1437,,"51.75612, -1.258605"
Coupar Angus,Cistercian,Abbey,,Perth and Kinross,1154,,"56.5435569978253, -3.26457689654918"
Cwmhir,Cistercian,Abbey,,Powys,1143,,"52.32983, -3.38755"
Strata Marcella,Cistercian,Abbey,,Powys,1170,,"52.686119, -3.109249"
Melrose,Cistercian,Abbey,,Scottish Borders,1136,,"55.5991646484067, -2.71865549928513"
Buildwas,Cistercian,Abbey,,Shropshire,1135,,"52.6353510341295, -2.5285518376997"
Cleeve,Cistercian,Abbey,,Somerset,1198,,"51.1573661332003, -3.36375103650809"
Croxden,Cistercian,Abbey,,Staffordshire,1176,,"52.9546748921307, -1.90430475471702"
Hulton,Cistercian,Abbey,,Staffordshire,1150,,"53.0395108850454, -2.14251398995892"
Sibton,Cistercian,Abbey,,Suffolk,1150,,"52.2755861407587, 1.46541225436587"
Waverley,Cistercian,Abbey,,Surrey,1128,,"51.2, -0.76"
Robertsbridge,Cistercian,Abbey,,Sussex East,1176,,"50.9871315712866, 0.498665338923108"
Combe,Cistercian,Abbey,,Warwickshire,1150,,"52.41454472775692,, -1.40824078547345"
Merevale,Cistercian,Abbey,,Warwickshire,1148,,"52.5765351832017, -1.57288481428436"
Stoneleigh,Cistercian,Abbey,,Warwickshire,1141,,"52.3383390493968, -1.53412058284938"
Stanley,Cistercian,Abbey,,Wiltshire,1151,,"51.4492888581199, -2.05392054840744"
Bordesley,Cistercian,Abbey,,Worcestershire,1138,,"52.31677310036196,, -1.93384481926931"
Meaux,Cistercian,Abbey,,Yorkshire East,1151,,"53.83938, -0.34193"
Jervaulx,Cistercian,Abbey,,Yorkshire North,1156,,"54.266944, -1.738056"
Byland,Cistercian,Abbey,,Yorkshire North,1135,,"54.2031, -1.1592"
Fountains,Cistercian,Abbey,,Yorkshire North,1136,,"54.109722, -1.581389"
Rievaulx,Cistercian,Abbey,,Yorkshire North,1132,,"54.2575335124645, -1.11677563011629"
Roche,Cistercian,Abbey,,Yorkshire South,1147,,"53.4025, -1.1834"
Kirkstall,Cistercian,Abbey,Kirkstall,Yorkshire West,1152,,"53.821, -1.6066"
